num_episodes,train_test_rewards,kl_loss,train_info_final_performance,train_rewards,train_info_final_normalized_performance,eval_info_avarage_normalized_performance,reward_loss,eval_test_rewards,num_steps,train_info_avarage_performance,train_info_sum_normalized_performance,eval_info_final_normalized_performance,eval_info_sum_performance,train_info_sum_performance,eval_info_avarage_performance,train_test_episodes,observation_loss,eval_info_final_performance,eval_test_episodes,train_info_avarage_normalized_performance,eval_info_sum_normalized_performance
14,10.126559935153933,3.0,0.10132414,10.159875085653091,0.00071193225,0.0006240822,0.0007828869138029404,10.129710807282812,1391,0.10126561,0.05216761,0.00080057734,10.129711,10.12656,0.10129711,9,1001.138988494873,0.10135141,18,0.0005216761,0.062408224
23,,3.004301333427429,,11.593012613015743,,,6.0929488681722433e-05,,2282,,,,,,,,99.97488830566407,,,,
32,,3.002997388839722,,13.082128307931566,,,0.0002164711820296361,,3173,,,,,,,,105.7028199005127,,,,
41,,3.098940703868866,,10.623894011704161,,,0.00029711438590311444,,4064,,,,,,,,128.71700927734375,,,,
50,,3.48089955329895,,11.208608114393455,,,7.95220241707284e-05,,4955,,,,,,,,73.69536651611328,,,,
59,,3.4795812797546386,,12.218902890698226,,,5.2486838249024005e-05,,5846,,,,,,,,58.76108478546143,,,,
68,,3.4201338839530946,,12.385856462746524,,,4.106029193280847e-05,,6737,,,,,,,,56.0822741317749,,,,
77,,3.5434181594848635,,12.707089806697532,,,4.774514707605704e-05,,7628,,,,,,,,61.35895034790039,,,,
86,,3.729312219619751,,13.087504391627409,,,8.215127203584416e-05,,8519,,,,,,,,75.80229290008545,,,,
95,,3.745105831623077,,12.702599786653,,,6.457415078330087e-05,,9410,,,,,,,,65.64041370391845,,,,
104,12.474210376582645,3.6691112327575683,0.12695321,13.068639598801234,0.084008686,0.057795774,4.876334805885563e-05,11.88879212197522,10301,0.1247421,7.682239,0.06465124,11.888792,12.47421,0.11888792,27,62.1438826751709,0.12099724,36,0.076822385,5.7795773
113,,3.6210659313201905,,12.875757614193336,,,4.755383994051954e-05,,11192,,,,,,,,59.2828035736084,,,,
122,,3.6492228651046754,,13.33705812541987,,,6.0103435898781755e-05,,12083,,,,,,,,62.19847007751465,,,,
