train_info_sum_performance,eval_info_sum_performance,eval_info_sum_normalized_performance,train_info_avarage_normalized_performance,train_info_sum_neg_fixation_dist,train_info_final_neg_fixation_dist,eval_info_sum_neg_fixation_dist,num_steps,train_info_final_performance,eval_test_rewards,eval_info_avarage_neg_group_dist,train_test_rewards,train_info_avarage_neg_group_dist,train_test_episodes,eval_info_final_neg_group_dist,eval_info_final_neg_fixation_dist,observation_loss,eval_info_avarage_neg_fixation_dist,eval_info_final_performance,eval_info_final_normalized_performance,eval_info_avarage_normalized_performance,train_info_sum_normalized_performance,eval_info_avarage_performance,reward_loss,train_info_avarage_neg_fixation_dist,train_info_avarage_performance,eval_test_episodes,num_episodes,train_info_final_neg_group_dist,train_info_sum_neg_group_dist,train_info_final_normalized_performance,eval_info_sum_neg_group_dist,kl_loss,train_rewards
-35.524254,-35.27364,-0.981889,-0.016993504,-20.833473,-0.21258117,-20.475075,1391,-0.3564238,-35.27364061507914,-0.107035495,-35.52425368792481,-0.105240844,9,-0.103473134,-0.20889746,1718.704298095703,-0.20475078,-0.3541501,-0.013866021,-0.00981889,-1.6993506,-0.3527364,0.0036535676958737895,-0.20833474,-0.35524255,18,14,-0.101326376,-10.524084,-0.020375216,-10.703548,3.0,-35.778125183698194
,,,,,,,2282,,,,,,,,,410.5533540344238,,,,,,,0.0010190990898991004,,,,23,,,,,3.2356194829940796,-35.30295700099733
,,,,,,,3173,,,,,,,,,199.42728912353516,,,,,,,0.0006424566771602258,,,,32,,,,,4.032215371131897,-36.15198623695307
,,,,,,,4064,,,,,,,,,141.0503247833252,,,,,,,0.0005661997044808232,,,,41,,,,,3.57782187461853,-35.78504865037071
,,,,,,,4955,,,,,,,,,115.55526237487793,,,,,,,0.0003607834594731685,,,,50,,,,,3.572191791534424,-35.547642831256
,,,,,,,5846,,,,,,,,,101.0846083831787,,,,,,,0.00022166940179886297,,,,59,,,,,3.603406319618225,-35.61773445813193
,,,,,,,6737,,,,,,,,,92.4673323059082,,,,,,,0.000177568568760762,,,,68,,,,,3.542271637916565,-34.68743916890687
,,,,,,,7628,,,,,,,,,85.61126937866212,,,,,,,0.00015127051476156338,,,,77,,,,,3.570486800670624,-35.56056949918469
,,,,,,,8519,,,,,,,,,81.56329132080079,,,,,,,0.00013889582100091503,,,,86,,,,,3.56322674036026,-35.3233058123125
,,,,,,,9410,,,,,,,,,77.51524559020996,,,,,,,0.00012125989735068288,,,,95,,,,,3.585341272354126,-34.885744311246604
-34.60255,-33.906223,2.9327748,0.009393217,-20.618486,-0.21036492,-20.393293,10301,-0.34709084,-33.906223414258825,-0.0943427,-34.60254868732558,-0.098603636,27,-0.089367256,-0.20836401,73.00667915344238,-0.20393296,-0.3394041,0.028349128,0.029327746,0.9393222,-0.3390622,9.869421541225165e-05,-0.20618486,-0.3460255,36,104,-0.09465288,-9.860364,0.006343397,-9.43427,3.5814456295967103,-35.584262207812735
,,,,,,,11192,,,,,,,,,71.1886374282837,,,,,,,9.033368103700923e-05,,,,113,,,,,3.5767166209220886,-35.6712670567135
,,,,,,,12083,,,,,,,,,69.26329162597656,,,,,,,8.762815799855162e-05,,,,122,,,,,3.572338147163391,-36.12999029623137
,,,,,,,12974,,,,,,,,,67.80232662200928,,,,,,,9.019158926093951e-05,,,,131,,,,,3.5509922909736633,-34.794915223038856
,,,,,,,13865,,,,,,,,,65.33856117248536,,,,,,,7.646118549018865e-05,,,,140,,,,,3.5401308798789977,-34.9457608319819
,,,,,,,14756,,,,,,,,,64.00861042022706,,,,,,,7.835031876311404e-05,,,,149,,,,,3.515803668498993,-35.09350263782673
,,,,,,,15647,,,,,,,,,62.557079772949216,,,,,,,7.658463870029664e-05,,,,158,,,,,3.515673837661743,-35.50622803519169
,,,,,,,16538,,,,,,,,,61.17411594390869,,,,,,,8.551742241252213e-05,,,,167,,,,,3.5280762624740603,-35.64699176574746
