num_episodes,train_info_avarage_normalized_performance,train_info_sum_neg_fixation_dist,eval_test_episodes,kl_loss,eval_info_sum_neg_group_dist,eval_info_avarage_neg_fixation_dist,train_test_episodes,eval_info_avarage_neg_group_dist,train_info_sum_neg_group_dist,train_info_sum_performance,reward_loss,eval_info_sum_normalized_performance,train_info_final_neg_group_dist,train_info_sum_normalized_performance,train_info_final_normalized_performance,num_steps,train_info_avarage_neg_fixation_dist,eval_info_final_performance,train_info_final_neg_fixation_dist,train_info_avarage_performance,eval_info_sum_performance,eval_info_final_neg_fixation_dist,eval_info_avarage_performance,train_rewards,train_info_final_performance,observation_loss,train_info_avarage_neg_group_dist,eval_info_sum_neg_fixation_dist,eval_info_avarage_normalized_performance,eval_test_rewards,eval_info_final_neg_group_dist,eval_info_final_normalized_performance,train_test_rewards
14,-0.004486546,-0.562493,18,3.000258321762085,-34.05576,-0.0182031,9,-0.34055758,-34.482033,-35.157024,0.008044175314716994,-3.5432353,-0.34451956,-0.44865465,-0.0071350494,1391,-0.0056249294,-0.362449,-0.006648091,-0.35157022,-36.240128,-0.020414978,-0.36240134,-35.42267216985669,-0.35249725,2083.597367553711,-0.34482035,-1.8203095,-0.035432357,-36.24013192849711,-0.33795103,-0.035568584,-35.157028522539086
23,,,,3.0279160356521606,,,,,,,0.0011321673874772386,,,,,2282,,,,,,,,-34.427517775642514,,683.6858476257324,,,,,,,
32,,,,3.0481744503974912,,,,,,,0.0014425515825132608,,,,,3173,,,,,,,,-45.61677805924168,,904.8452841186523,,,,,,,
41,,,,3.0298458433151243,,,,,,,0.0049760469770990315,,,,,4064,,,,,,,,-36.023441935542536,,837.1386734008789,,,,,,,
50,,,,3.2065672969818113,,,,,,,0.026594025723898084,,,,,4955,,,,,,,,-36.62195189210599,,1207.9355473327637,,,,,,,
59,,,,3.171026451587677,,,,,,,0.005172314749579528,,,,,5846,,,,,,,,-39.85480709078489,,1032.64478515625,,,,,,,
68,,,,3.289694490432739,,,,,,,0.00609552191781404,,,,,6737,,,,,,,,-41.48225381226525,,1135.8404568481446,,,,,,,
77,,,,4.268012914657593,,,,,,,0.010770357048459118,,,,,7628,,,,,,,,-41.96868688950549,,1130.742797088623,,,,,,,
86,,,,3.068712332248688,,,,,,,0.005541792413296207,,,,,8519,,,,,,,,-59.468564785209814,,1229.7987438964844,,,,,,,
95,,,,3.177806143760681,,,,,,,0.016750078927580035,,,,,9410,,,,,,,,-34.99999940395355,,1328.6490803527831,,,,,,,
