eval_info_avarage_normalized_performance,reward_loss,eval_test_rewards,observation_loss,num_episodes,eval_info_sum_normalized_performance,eval_info_final_normalized_performance,train_test_rewards,train_info_sum_performance,kl_loss,train_info_final_performance,train_test_episodes,eval_test_episodes,train_info_final_normalized_performance,num_steps,train_rewards,eval_info_final_performance,eval_info_sum_performance,train_info_sum_normalized_performance,eval_info_avarage_performance,train_info_avarage_normalized_performance,train_info_avarage_performance
0.119625755,0.0013517939430312254,9.873831679501642,1767.5322665405274,14,11.962576,0.13988328,10.82116092099768,10.821161,4.076144449710846,0.1168382,9,18,0.20751661,1391,11.264880684905448,0.10291007,9.873831,16.56269,0.09873832,0.16562691,0.108211614
,0.0004509803626569919,,644.7759048461915,23,,,,,4.421126737594604,,,,,2282,8.602499179451124,,,,,,
,0.0001823507573863026,,308.11064743041993,32,,,,,5.193140888214112,,,,,3173,9.008765103078535,,,,,,
,0.00010446471354953246,,179.54570068359374,41,,,,,4.996664347648621,,,,,4064,7.473657319923571,,,,,,
,4.745380313579517e-05,,99.21488746643067,50,,,,,4.582831377983093,,,,,4955,8.706124920522527,,,,,,
,4.450645528777386e-05,,99.61619163513184,59,,,,,4.581415328979492,,,,,5846,7.943569584883554,,,,,,
,2.9334956097955e-05,,86.49552131652833,68,,,,,4.379516024589538,,,,,6737,7.634166626482702,,,,,,
,2.443808754833299e-05,,75.11408485412598,77,,,,,4.238186824321747,,,,,7628,8.481929617563939,,,,,,
,2.9526488815463382e-05,,79.15094627380371,86,,,,,4.26523987531662,,,,,8519,8.419516549502212,,,,,,
,2.5335113136861764e-05,,76.15608425140381,95,,,,,4.1965504431724545,,,,,9410,8.55546789000909,,,,,,
0.02966819,3.68848517882725e-05,8.021281420915495,82.68314208984376,104,2.9668186,0.032076314,8.82958347111345,8.829584,4.355550181865692,0.08954838,27,36,0.075000554,10301,8.109072364576235,0.08070874,8.021281,6.8918347,0.08021281,0.06891835,0.08829583
,4.0485515528416725e-05,,87.6795601272583,113,,,,,4.402842352390289,,,,,11192,9.851000391756703,,,,,,
,5.889465748623479e-05,,97.54017162322998,122,,,,,4.613913514614105,,,,,12083,8.727671883528071,,,,,,
,6.80646434193477e-05,,114.20583766937256,131,,,,,5.120460376739502,,,,,12974,9.134509275766192,,,,,,
,4.6727219223612335e-05,,93.0706075668335,140,,,,,4.658638865947723,,,,,13865,9.097978038916754,,,,,,
,4.043310496854247e-05,,88.93338676452636,149,,,,,4.515140273571014,,,,,14756,9.687293503553441,,,,,,
,3.618814305809792e-05,,88.84882305145264,158,,,,,4.609165217876434,,,,,15647,9.19378527018338,,,,,,
,4.691451450526074e-05,,87.65750205993652,167,,,,,4.65579042673111,,,,,16538,7.481256557756069,,,,,,
,3.384054802609171e-05,,80.70571781158448,176,,,,,4.539558393955231,,,,,17429,7.477496952537213,,,,,,
,3.3130399060610216e-05,,73.24313327789307,185,,,,,4.433739187717438,,,,,18320,9.979772141045588,,,,,,
0.04006046,3.586799824915943e-05,8.23529579260778,76.94794025421143,194,4.006046,0.07722128,8.560068808276917,8.560069,4.5890076541900635,0.091869965,45,54,0.08627387,19211,9.965771084828994,0.09000571,8.235295,5.5831046,0.08235296,0.055831045,0.08560069
,3.925039725800161e-05,,86.15754798889161,203,,,,,4.727980132102966,,,,,20102,7.478886221812147,,,,,,
,3.427002991884365e-05,,75.51521167755126,212,,,,,4.571573233604431,,,,,20993,8.309335178916724,,,,,,
,3.539982284564758e-05,,74.39227405548095,221,,,,,4.483485090732574,,,,,21884,9.273205087808376,,,,,,
,3.6400025228431334e-05,,76.24855434417725,230,,,,,4.498278465270996,,,,,22775,8.822910511264187,,,,,,
,3.493845311822952e-05,,71.51136028289795,239,,,,,4.518277459144592,,,,,23666,10.215836400503468,,,,,,
,5.3469947906705784e-05,,100.05822971343994,248,,,,,4.942232027053833,,,,,24557,7.829648992624254,,,,,,
,4.0886940550990405e-05,,86.8960717010498,257,,,,,4.794592063426972,,,,,25448,9.66931083360146,,,,,,
,3.5814206521536105e-05,,75.9809980392456,266,,,,,4.587173449993133,,,,,26339,7.475143668768309,,,,,,
,3.477309015579522e-05,,74.46589496612549,275,,,,,4.547352395057678,,,,,27230,8.14612895540872,,,,,,
0.1966296,3.914286561666813e-05,11.459618023499495,74.016589012146,284,19.66296,0.22248477,11.9012279300699,11.901227,4.547159266471863,0.123232216,63,72,0.23856518,28121,7.64738517970426,0.11992069,11.459619,21.807365,0.11459619,0.21807365,0.11901228
,3.9696154844932606e-05,,69.70201190948487,293,,,,,4.478924987316131,,,,,29012,8.179847854833918,,,,,,
,3.4786210558195305e-05,,71.11006832122803,302,,,,,4.552209153175354,,,,,29903,8.672473599589386,,,,,,
,3.968492143940239e-05,,72.25486907958984,311,,,,,4.5113379001617435,,,,,30794,9.965540296737863,,,,,,
,3.984853347901662e-05,,71.19138809204101,320,,,,,4.482910671234131,,,,,31685,9.968904354835912,,,,,,
,5.4052086743467955e-05,,74.65496810913086,329,,,,,4.568508174419403,,,,,32576,10.000551643021334,,,,,,
,4.915880898806791e-05,,68.15870788574219,338,,,,,4.469787409305573,,,,,33467,9.154658761107205,,,,,,
,5.1302167639732944e-05,,66.3268911743164,347,,,,,4.422689130306244,,,,,34358,10.380217970480679,,,,,,
,5.13293844232976e-05,,67.40696140289306,356,,,,,4.496556572914123,,,,,35249,12.764033505411675,,,,,,
,5.130442932568258e-05,,64.27448680877686,365,,,,,4.37668936252594,,,,,36140,9.170375729909072,,,,,,
