train_info_avarage_performance,eval_info_sum_performance,eval_info_sum_normalized_performance,eval_info_avarage_performance,eval_info_avarage_normalized_performance,num_steps,kl_loss,reward_loss,train_test_episodes,train_info_final_performance,train_info_avarage_normalized_performance,eval_info_final_normalized_performance,observation_loss,train_info_final_normalized_performance,eval_info_final_performance,train_info_sum_normalized_performance,eval_test_episodes,train_rewards,train_info_sum_performance,eval_test_rewards,num_episodes,train_test_rewards
0.11347809,11.379183,0.49691105,0.11379182,0.0049691107,1391,5.063582005500794,0.0001936201032003737,9,0.11455573,0.0037294934,0.010007119,886.8441937255859,0.007987364,0.115066916,0.37294936,18,11.341655970239486,11.347809,11.379183052911495,14,11.347809494042762
,,,,,2282,3.215822079181671,3.665104204173986e-05,,,,,498.5797445678711,,,,,12.682190708134836,,,23,
,,,,,3173,3.3708127665519716,0.0001119835905956279,,,,,463.65114532470704,,,,,11.377558711010344,,,32,
,,,,,4064,3.1148690724372865,7.320718055780163e-05,,,,,481.08539001464845,,,,,12.769606159043343,,,41,
,,,,,4955,3.047468354701996,8.103347876385669e-05,,,,,459.7406173706055,,,,,11.043129697362328,,,50,
,,,,,5846,3.0602979850769043,0.0001304362052360375,,,,,476.77604248046873,,,,,12.74152308729297,,,59,
,,,,,6737,3.1256403970718383,0.00011895427797753655,,,,,461.79765380859374,,,,,13.535825923813873,,,68,
,,,,,7628,3.6405627965927123,0.0001320105064951349,,,,,476.03277191162107,,,,,12.958039368732619,,,77,
,,,,,8519,4.639659550189972,0.00013800501901641837,,,,,430.35241546630857,,,,,13.306336334316056,,,86,
,,,,,9410,4.081866054534912,0.00016209150592658261,,,,,406.18278182983397,,,,,12.051842294436145,,,95,
0.123384066,12.3617525,4.379194,0.12361754,0.043791935,10301,5.016931736469269,0.00015308096590615605,27,0.12462481,0.042869497,0.049024895,362.9500537109375,0.047771852,0.124941945,4.2869496,36,12.54015993618318,12.338407,12.361753078035287,104,12.338407015535392
