train_info_avarage_neg_fixation_dist,eval_info_avarage_normalized_performance,eval_info_final_neg_group_dist,train_info_final_neg_group_dist,eval_info_final_normalized_performance,train_info_avarage_normalized_performance,num_episodes,train_test_episodes,eval_info_avarage_neg_fixation_dist,train_info_avarage_performance,eval_info_sum_neg_fixation_dist,train_test_rewards,train_info_final_performance,train_rewards,train_info_final_normalized_performance,observation_loss,kl_loss,train_info_sum_normalized_performance,train_info_final_neg_fixation_dist,eval_test_episodes,reward_loss,eval_info_sum_normalized_performance,eval_info_sum_performance,eval_info_avarage_neg_group_dist,num_steps,train_info_sum_neg_fixation_dist,eval_info_final_performance,train_info_sum_performance,eval_info_sum_neg_group_dist,eval_test_rewards,eval_info_avarage_performance,train_info_avarage_neg_group_dist,eval_info_final_neg_fixation_dist,train_info_sum_neg_group_dist
-0.20929812,-0.6977495,-0.21392271,-0.23677792,-0.7324697,-0.8640639,14,9,-0.1906955,-0.48931688,-19.06955,-48.93168706623251,-0.50049734,-49.53897824264388,-0.90665615,2317.2644860839846,3.0,-86.4064,-0.21976617,18,0.008144103782251477,-69.77495,-44.565933,-0.21682476,1391,-20.929811,-0.45477337,-48.931686,-21.682472,-44.56593294217925,-0.4456593,-0.23815913,-0.2007089,-23.815912
,,,,,,23,,,,,,,-30.858176682118522,,911.5710595703125,7.9156909394264225,,,,0.008639664395013824,,,,2282,,,,,,,,,
,,,,,,32,,,,,,,-26.483990126475533,,440.6899090576172,8.076141529083252,,,,0.0008377346090856008,,,,3173,,,,,,,,,
,,,,,,41,,,,,,,-31.636181168055582,,311.390537109375,6.810148949623108,,,,0.0003792404585692566,,,,4064,,,,,,,,,
,,,,,,50,,,,,,,-34.17577046772302,,278.99086654663085,6.983935470581055,,,,0.0008529858158726711,,,,4955,,,,,,,,,
,,,,,,59,,,,,,,-31.93527366278574,,239.4665983581543,7.295059123039246,,,,0.0005054577226110269,,,,5846,,,,,,,,,
,,,,,,68,,,,,,,-30.146518626729264,,212.23928466796875,7.235819921493531,,,,0.00034591648960486055,,,,6737,,,,,,,,,
,,,,,,77,,,,,,,-30.452129573454492,,212.20410430908203,7.22578305721283,,,,0.0002875136538932566,,,,7628,,,,,,,,,
,,,,,,86,,,,,,,-32.07588179290081,,188.71363479614257,7.276347556114197,,,,0.00023411123853293248,,,,8519,,,,,,,,,
,,,,,,95,,,,,,,-25.724245053745594,,188.5498567199707,7.17184003829956,,,,0.0002096511665149592,,,,9410,,,,,,,,,
-0.0024227768,-0.012920304,-0.2611183,-0.2600382,-0.013289919,-0.0062780855,104,27,-0.003353532,-0.26414806,-0.33535317,-26.41480455596941,-0.26412576,-26.273399209412233,-0.006193185,174.77902450561524,7.143462400436402,-0.6278085,-0.0034063058,36,0.00018436400045175106,-1.2920306,-26.589165,-0.26186737,10301,-0.2422777,-0.26598868,-26.414804,-26.18674,-26.58916285434065,-0.2658916,-0.26124072,-0.004058633,-26.124075
,,,,,,113,,,,,,,-28.662560283449277,,158.06888427734376,7.067223463058472,,,,0.0001305906070047058,,,,11192,,,,,,,,,
,,,,,,122,,,,,,,-29.65242251582238,,154.60171264648437,7.057238926887512,,,,0.00014727300593222025,,,,12083,,,,,,,,,
,,,,,,131,,,,,,,-27.309750124310252,,143.12555648803712,7.208171110153199,,,,0.0001507563516497612,,,,12974,,,,,,,,,
,,,,,,140,,,,,,,-28.332833657144036,,131.58884384155274,7.108096046447754,,,,0.00010774224072520156,,,,13865,,,,,,,,,
,,,,,,149,,,,,,,-24.199117931740368,,130.8719165802002,7.19292799949646,,,,0.00014546096841513645,,,,14756,,,,,,,,,
,,,,,,158,,,,,,,-27.917734434554873,,132.54732238769532,7.192299585342408,,,,0.00012167046428658068,,,,15647,,,,,,,,,
,,,,,,167,,,,,,,-30.95642781405222,,134.88785835266114,7.329358329772949,,,,0.00018059858884953429,,,,16538,,,,,,,,,
,,,,,,176,,,,,,,-30.837560840466544,,134.7119448852539,7.554732689857483,,,,0.0001579964421398472,,,,17429,,,,,,,,,
,,,,,,185,,,,,,,-27.093640632698467,,135.66171089172363,7.641678237915039,,,,0.00013446797245705966,,,,18320,,,,,,,,,
-0.018844327,-0.33147913,-0.25065958,-0.24001397,-0.45875767,-0.043791585,194,45,-0.07970045,-0.27399534,-7.9700446,-27.399534047368935,-0.28674424,-29.24032975101014,-0.09235872,127.54281288146973,7.668188734054565,-4.379158,-0.038941875,54,0.00010623720139847137,-33.147907,-34.951336,-0.25387278,19211,-1.8844324,-0.38292396,-27.399534,-25.387281,-34.951332885890956,-0.34951335,-0.25138217,-0.11022032,-25.138218
,,,,,,203,,,,,,,-26.24749622076483,,127.98209259033203,7.585638175010681,,,,0.00012052696205500978,,,,20102,,,,,,,,,
,,,,,,212,,,,,,,-28.519650697563904,,115.1190488433838,7.450475978851318,,,,9.02330099415849e-05,,,,20993,,,,,,,,,
